,Ano/Mês,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
48,Atual,FEXC11,Títulos e Val. Mob.,97.85,0.009153842277190074,0.13706293706293704,0.6341463414634146,0.4355555555555555,0.4655172413793104,0.4705882352941176,0.4603960396039604,0.5990722332670644,0.5936406995230524,0.7872299751481552,0.08431900806322358,0.024639266262859557,0.6938775510204082,0.06617647058823531,0.0
49,Atual,FIGS11,Shoppings,59.66,0.019150681040367615,0.020979020979020976,0.1524390243902439,0.08888888888888889,0.2011494252873563,0.0,0.18193069306930693,0.6500994035785289,0.6181240063593004,0.532785318294781,0.06922199986375166,0.024314480982017446,0.2959183673469388,0.14950980392156862,0.03125
50,Atual,FIIB11,Híbrido,500.61,0.006130050533974133,0.4615384615384615,0.4024390243902439,0.28444444444444444,0.3390804597701149,0.33986928104575165,0.3069306930693069,0.6494367130550034,0.6305246422893481,0.6767348499330911,0.07799005388672144,0.1208617636118344,0.8061224489795918,0.04816176470588236,0.015625
51,Atual,FIIP11B,Logística,194.01,0.0068722539618544095,0.15664335664335666,0.3353658536585366,0.2622222222222222,0.3333333333333333,0.5816993464052288,0.3626237623762376,0.6573889993373094,0.6349761526232115,0.7522462244312751,0.04578893162834122,0.05173246575874838,0.6734693877551021,0.0,0.109375
52,Atual,FIVN11,Shoppings,2.97,0.1218496442463199,0.0,0.0,0.0,0.0,0.0,0.0,0.6388336646785951,0.5993640699523053,0.723188682852227,0.016045037488787158,0.0,0.09183673469387756,0.6862745098039216,0.015625
53,Atual,FLRP11,Shoppings,1312.0,2.748901584741764e-05,0.5594405594405594,0.18292682926829268,0.17333333333333334,0.235632183908046,0.0,0.2079207920792079,0.6971504307488404,0.6651828298887122,0.7748040527623781,0.02737775026996486,0.4593740804690232,0.4591836734693878,0.02524509803921569,0.015625
54,Atual,FPAB11,Lajes Corporativas,258.8,3.207051848865391e-05,0.1678321678321678,0.27439024390243905,0.1955555555555556,0.25862068965517243,0.33986928104575165,0.2648514851485149,0.3522200132538105,0.3376788553259141,0.5652838845345058,0.08661983122830087,0.12249956972890146,0.24489795918367346,0.4698529411764706,0.015625
55,Atual,FVPQ11,Shoppings,136.53,0.0016676669614100034,0.19580419580419575,0.6158536585365854,0.21333333333333326,0.1839080459770115,0.2810457516339869,0.17079207920792078,0.5357852882703777,0.5316375198728139,0.6893519403555725,0.14213082619125406,0.052565248530138414,0.3673469387755102,0.06495098039215688,0.015625
56,Atual,GALG11,Híbrido,109.98,0.2298677320187475,0.11748251748251748,0.4634146341463415,0.3333333333333333,0.4252873563218391,0.0,0.4603960396039604,0.5894632206759445,0.5758346581875994,0.7832154463773656,0.1470673416677811,0.0262021219305015,0.7653061224489796,0.0,0.09375
57,Atual,GCFF11,Títulos e Val. Mob.,95.31,0.010074724308078565,0.13006993006993006,0.573170731707317,0.4133333333333333,0.4827586206896552,0.0,0.4554455445544554,0.6590457256461233,0.648966613672496,0.8895048747849359,0.007691728319415889,0.024914084577418262,0.6632653061224489,0.06617647058823531,0.0
