,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
58,MXRF11,Híbrido,993.0,61921.0,0.003480394502716883,0.7606530160486995,0.7113683520803756,0.7545433089450082,0.7635015884221673,0.7509243087531472,0.34812238732567535,0.34295308224158216,0.7914563409158739,0.11381722098714037,9.5584,0.5592847867345919,0.1377952755905512,0.0
62,PORD11,Títulos e Val. Mob.,10030.0,511.0,0.0,0.0,0.0,0.6248524899693179,0.8286857277326745,0.0,0.8199889345558015,0.7840954659827524,0.6840117825675096,0.031641275739180026,105.9111,0.46748576565777644,0.1377952755905512,0.0
64,RBGS11,Shoppings,5020.0,1194.0,0.008339895327135331,0.3536247924737133,0.3205198209020422,0.5270238376209582,0.44440522414401695,0.5373692925352145,0.15579881968595208,0.13186503267541838,0.9449203898109338,0.032122459492917546,99.3071,0.026470882029767256,0.2578740157480315,0.024390243902439025
65,FIIP11B,Logística,19590.0,430.0,0.05650855524473699,0.6115107913669064,0.7008845691820466,1.0,0.8824567596187787,1.0,0.5770848702005831,0.5679000920992909,0.6733581615042238,0.056404758940537786,177.6148,0.6232144640895015,0.1377952755905512,0.17073170731707318
66,RBRD11,Híbrido,8300.0,846.0,0.0223267307349288,0.5682530898358236,0.6470459757562521,0.7021477460467311,0.9998823390987175,0.6692449021253432,0.6766299574946429,0.666463960093245,0.7786642098023695,0.0456044464774871,75.0882,0.6257117171111777,0.0,0.0975609756097561
67,RDES11,Lajes Corporativas,7225.0,207.0,0.006473533775053402,0.19064748201438847,0.30490335262640605,0.3856502242152466,0.4331097776208966,0.34279946469480804,0.9954376997927425,0.9696292673038704,0.908866771342927,0.015334559688562809,90.5841,0.31824992508240935,0.9946850393700788,0.0975609756097561
69,RBVO11,Residencial,5805.0,349.0,0.01305147938518831,0.4611695259177273,0.5679807797313531,0.9935095586499881,0.8160960112954465,0.6082972304761041,0.7880703973021393,0.7739116640006345,0.6373538533407731,0.0,59.7543,0.4919588452702028,0.1377952755905512,0.0
70,SAAG11,Outros,12534.0,4775.0,0.03697919159136688,0.6267293857221914,0.7033963088347712,0.7658720793013924,0.7596187786798446,0.7314401070610385,0.532713317174272,0.5237497190751292,0.6733581615042238,0.1955568391398745,87.8808,0.9462591149735291,0.1377952755905512,0.6829268292682927
71,SDIL11,Logística,9156.0,1687.0,0.02740810670889545,0.6385353255856853,0.7025226602599105,0.7551333490677365,0.7503235674785269,0.714791208292694,0.5111269188885376,0.5024655288658567,0.5363170393055032,0.04340354397664581,93.0076,0.5048446708620518,0.2795275590551181,0.024390243902439025
72,SPTW11,Lajes Corporativas,7197.0,2452.0,0.02392771220617857,0.6948902416528315,0.7780932619853664,0.8307764928015104,0.8469231674314626,0.7949508925533605,0.49086222643762956,0.4844775238070057,0.5601832267106134,0.043201848617899004,74.1633,0.4908600539406653,0.1377952755905512,0.04878048780487805
74,TRXL11,Logística,6937.0,1307.0,0.014687264801465247,0.43248478140564467,0.4920825597903244,0.5207694123200378,0.5365337098482175,0.4024996030575907,0.7642050444374187,0.7484940223594164,0.46238272582173023,0.0599754056590354,104.9835,0.18160023973629008,1.0,0.14634146341463414
75,XPCM11,Lajes Corporativas,9470.0,4859.0,0.03393384640148961,0.7504150525733259,0.872665720214044,0.9394618834080717,0.9603482762677963,0.903939936942863,0.7071126216320651,0.7057141220381705,0.7066166642876607,0.06868966856021011,80.2757,0.6999300769153931,0.0,0.024390243902439025
76,KNIP11,Títulos e Val. Mob.,10601.0,9439.0,0.02566790945753701,0.5069175428887659,0.653270721852135,0.771772480528676,0.7214966466643135,0.7437566629618709,0.7830294727228019,0.7709944520092188,0.7442040927552781,0.6068084191415731,103.9277,0.5404055538907202,0.1377952755905512,0.0
77,FAED11,Outros,20551.0,0.0,0.0257897232651321,0.24515771997786384,0.5792290051326854,0.7152466367713004,0.7347923285092365,0.5073377639667023,0.8431429374363298,0.8190976032151025,0.708796698804874,0.030535868452577962,160.8424,0.7978223953650984,0.0,0.07317073170731707
78,CNES11,Lajes Corporativas,8200.0,0.0,0.010323720193683954,0.2760560782143516,0.3505514906628809,0.39662497049799383,0.41310742440287096,0.2757502211536281,0.28093494221379134,0.2546787761810963,0.15117760793117316,0.11620076850344647,103.9521,0.30945959444610927,0.8956692913385828,0.024390243902439025
79,FLRP11,Shoppings,1.254,0.0,0.40074132402907864,0.6992252351964582,0.7125696188708092,0.725395326882228,0.6572537945640664,0.6604214394265884,0.7220992728422383,0.7184890428283736,0.8528372889713611,0.017727902759502166,1412.5468,0.4083508141044851,0.03425196850393701,0.024390243902439025
80,FEXC11,Títulos e Val. Mob.,10799.0,0.0,0.033063747775810386,0.656059767570559,0.801681773506607,0.8595704507906538,0.6713731027179668,0.6958513847619481,0.7452620578213369,0.7398833996536363,0.8274943877087577,0.04920380678258421,100.9998,0.5895514933573069,0.1377952755905512,0.0
81,EDGA11,Lajes Corporativas,4070.0,0.0,0.0029104799028969934,0.15061796716472975,0.2086928033198646,0.28616945952324757,0.2829744675844217,0.18601855422233315,0.31561984051708986,0.2842959692238542,0.28926722292150575,0.11778447148345089,81.4099,0.020877035261212665,0.5078740157480316,0.024390243902439025
82,NSLU11,Hospital,24300.0,0.0,0.06772847702287053,0.5544180040582918,0.6373266353609262,0.7020297380221855,0.7502059065772443,0.5313130854900538,0.6439034671725155,0.6327838222527751,0.6798152161218742,0.08653793916573757,206.3131,0.6980321646189191,0.0,0.024390243902439025
83,HTMX11,Hotel,12800.0,0.0,0.022091804105995413,0.37474635676074525,0.42153543737031784,0.534930375265518,0.5704200494175785,0.43963073014720894,0.354449889345558,0.33288826020473367,0.603127311420526,0.050553360434203005,134.7605,0.4702826890420537,0.5118110236220472,0.5853658536585366
84,MAXR11,Outros,1.9589900000000002,0.0,0.4056312783053959,0.4321158457849105,0.45418805285573877,0.8810479112579656,0.8255088833980468,0.283031279061855,0.6979177644289879,0.6816449197766702,0.6903987646471069,0.033243564715021066,1851.8613,0.5781640195784636,0.0,0.1951219512195122
85,JRDM11,Shoppings,7825.0,0.0,0.013886774065840362,0.3736395498985427,0.4278693895380583,0.5866178900165211,0.5824214613483939,0.26663188695080187,0.6530017212913197,0.6336695618453348,0.6172637971529786,0.06655907342458899,84.9168,0.44201378483667964,0.01889763779527559,0.024390243902439025
87,TRNT11,Lajes Corporativas,16800.0,0.0,0.016566677832932364,0.19193875668695812,0.22474609588293112,0.2543072928959169,0.3025061771973173,0.18449883185519542,0.8484868444163416,0.8219134619198075,0.7681507338151902,0.29651840960261827,186.6303,0.4207371890919988,0.5531496062992126,0.024390243902439025
88,FVBI11,Lajes Corporativas,10110.0,0.0,0.01848959579568344,0.38396974727909977,0.4135633941247133,0.43993391550625444,0.44334627603247445,0.34740399664300137,0.5664892682755471,0.5469596217319074,0.7033232549991565,0.07213233725443086,93.954,0.5964439116971332,0.2440944881889764,0.024390243902439025
89,FCFL11,Outros,1.91,80.0,0.47091912868323627,0.4869950193691201,0.5423173528448182,0.5730469671937691,0.6079538769266973,0.44602717354322136,0.4972775494432149,0.48177183171829074,0.4930122107885755,0.09731168460461047,1567.3925,0.738787333932674,0.0,0.024390243902439025
90,THRA11,Lajes Corporativas,11010.0,1344.0,0.017654301115031388,0.32263420033204204,0.39019329474718795,0.4398159074817087,0.46546652547358514,0.3273300519427496,0.8149128815821829,0.7943850279162205,0.7811868211722875,0.04375317542962325,91.4317,0.7244031565278194,0.0,0.024390243902439025
91,CEOC11,Lajes Corporativas,8770.0,1267.0,0.02281833645843756,0.5404906843755765,0.6661570383313312,0.7163087089922114,0.4278150370631839,0.548529044843151,0.8131037692767064,0.8029427706463255,0.7221909346897992,0.050416591703248956,82.8702,0.578663470182799,0.0,0.024390243902439025
92,GGRC11,Logística,13000.0,22864.0,0.036544142278527265,0.600442722744881,0.664628153325325,0.7023837620958224,0.7205553594540535,0.663687708394765,0.6786059296729546,0.6699452251585297,0.6765607360211774,0.17084618219313893,113.4255,0.6663669963040655,0.0,0.17073170731707318
93,OUJP11,Residencial,10155.0,1030.0,0.026285679481769256,0.5463014204021398,0.6770776455170908,0.7677602076941231,0.912695611248382,0.7255653594029986,0.6638476130256086,0.6525433064967457,0.6517524622711288,0.017867505828158044,101.7005,0.5189291779043053,0.1377952755905512,0.0
94,HCRI11,Hospital,34199.0,0.0,0.09819933089415685,0.5799667957941339,0.6955334716610244,0.7655180552277555,0.8048005647723262,0.5924875813731939,0.716966136227913,0.7077367811077473,1.0,0.013524073255075774,314.5845,0.6074318249925083,0.0,0.024390243902439025
95,RBRF11,Títulos e Val. Mob.,10098.0,3465.0,0.03480394502716883,0.7094631986718317,0.8151141203450911,0.7190228935567617,0.0,0.6607163109306599,1.0,1.0,0.9577021398076897,0.021110130979747493,99.9016,0.531215662770952,0.1377952755905512,0.0
96,VISC11,Shoppings,10300.0,22028.0,0.02653800808321623,0.5402139826600258,0.6160314513486951,0.6648572102902998,0.0,0.6337469095198132,0.47330681139565106,0.45992799509978893,0.6045754772069606,0.3297874084385544,99.6897,0.5535910498451703,0.10039370078740158,0.17073170731707318
97,XPML11,Shoppings,10010.0,0.0,0.02292274829351907,0.4813687511529238,0.5439554439226821,0.0,0.0,0.45031415156395316,0.7992719640285242,0.7861754116926439,0.6387968285688332,0.09023924789953296,96.2866,0.5599840175806613,0.07480314960629922,0.07317073170731707
98,BCFF11,Títulos e Val. Mob.,8180.0,0.0,0.022187514954820128,0.5342187788230954,0.6265152342470242,0.7065140429549209,0.7615013531003647,0.5273436613967837,0.7335203920328802,0.7223140277355472,0.9304672800176479,0.21186953006678577,89.6926,0.43252422335431023,0.1377952755905512,0.0
99,MALL11,Shoppings,10190.0,0.0,0.026973057396055843,0.5712968087068806,0.6701976629900623,0.0,0.0,0.6334293555923516,0.5791662275617381,0.568186525300865,0.7495841065102579,0.06253034119850699,96.3449,0.5780641294575967,0.0019685039370078744,0.024390243902439025
101,BZLI11,Títulos e Val. Mob.,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541600800927389,0.8183881302081267,0.7031234185017452,0.08987438867785441,12.4428,0.6093297372889821,0.1377952755905512,0.0
102,ALZR11,Outros,9841.0,0.0,0.02793451637743138,0.5960154952960708,0.6953150595173092,0.0,0.0,0.5103545262775876,0.6827949906909755,0.6739729166391251,0.6258489807040992,0.027086670214520304,95.3846,0.5520926980321647,0.0,0.04878048780487805
103,MGFF11,Títulos e Val. Mob.,9430.0,0.0,0.01401293836656385,0.30326508024349746,0.11968985475592443,0.06466839745102666,0.03223908695140605,0.07457980810669812,0.7352197281062282,0.713218671919411,0.6293058925813945,0.03612925784107917,96.6573,0.4960543402257517,0.1377952755905512,0.0
104,IRDM11,Títulos e Val. Mob.,9641.0,0.0,0.015365941729495038,0.3257701531082826,0.0,0.0,0.0,0.16183909088847054,0.8669204693153476,0.8469124704202636,0.7175168368737266,0.03065278628494337,95.8938,0.5258215962441315,0.1377952755905512,0.0
105,HFOF11,Títulos e Val. Mob.,9545.0,3136.0,0.03697919159136688,0.8166389964951115,0.0,0.0,0.0,0.3268537210515572,0.691296062107001,0.6927805613209418,0.6058445687294811,0.07918976588093898,99.0502,0.48416741584257317,0.1377952755905512,0.0
