,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
52,ONEF11,1.2,91.0,0.29088714016385914,0.5942348008385744,0.5089068066754172,0.5934887813462384,0.5388765777049812,0.4495852460336635,0.1382350423692545,0.13970632049372206,0.16105708895708004,0.02422072056139933,1088.5074,0.5722454025652913,0.0,0.024390243902439025
53,FIVN11,600.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999743216639562,0.35322409023196427,0.3207620497291695,0.048357210634426016,16.5827,0.0,0.09012195121951219,0.0
55,JSRE11,10601.0,10656.0,0.024058334900770306,0.5420335429769392,0.5296268516782299,0.6433128024637044,0.659504769245592,0.4342031086413788,0.3575365916288625,0.3548159182804852,0.3677302868616862,0.28232614311542376,109.6994,0.4671611806521403,0.0,0.04878048780487805
57,KNRI11,16950.0,14633.0,0.035868790215693905,0.5122641509433963,0.44712169510594413,0.561922569291685,0.541092590808363,0.35088990899573164,0.7064195840109561,0.7010768248563526,0.6838772882947801,0.9243728273197751,143.1377,0.6354504713336424,0.1451219512195122,0.36585365853658536
59,MXRF11,991.0,51241.0,0.003061969896461675,0.7659329140461216,0.588224264016501,0.7055653321601407,0.7054629540418151,0.5461464121768543,0.39104682016605324,0.4064864864864865,0.4223902711543288,0.10875881627036588,9.4826,0.5279709473033535,0.09012195121951219,0.0
63,PORD11,10230.0,1583.0,0.0,0.0,0.992780798799925,0.5823801143862736,0.6785817516138356,0.0,0.3999743216639562,0.35322409023196427,0.3207620497291695,0.025902342336915886,103.129,0.48694174007108637,0.09012195121951219,0.0
65,RBGS11,5200.0,1302.0,0.018769875465310067,0.9411949685534592,0.5621601350084381,0.4814122305323361,0.3926197128817805,0.5994201497946363,0.6658991697338013,0.6964971270483082,0.6970180310746585,0.027525869685278644,99.2189,0.12540565600370884,0.16219512195121952,0.024390243902439025
66,FIIP11B,20400.0,494.0,0.05689140067625792,0.6649895178197065,0.9872492030751921,0.9364276286845579,0.7335966856151844,1.0,0.4125224685440384,0.4197829325388381,0.534948870122825,0.052664861526782576,179.3066,0.5995209395765724,0.09012195121951219,0.17073170731707318
68,RDES11,7100.0,307.0,0.009597088504052735,0.32851153039832287,0.35102193887117944,0.4313682358117026,0.3850081896136429,0.27128130788435206,0.7805614996148249,0.7595914024260482,0.7378409670550323,0.010581023565556265,90.2896,0.32807912223767577,0.6162195121951219,0.0975609756097561
71,SAAG11,13222.0,8009.0,0.0371810630284632,0.6651991614255766,0.613069566847928,0.6962164540255169,0.6274207534444551,0.5204558266892164,0.7146623298810236,0.7221876995105341,0.7272749354298067,0.19190375080221597,87.8325,0.8836346777932313,0.09012195121951219,0.6829268292682927
72,SDIL11,10300.0,2521.0,0.02712030479723198,0.6249475890985324,0.5967560472529533,0.6880774307083151,0.6060314095770305,0.4918659901747604,0.8186681503038604,0.8228474143434774,0.8208632569286448,0.03902456579535019,93.1831,0.574563436872199,0.17317073170731706,0.024390243902439025
73,SPTW11,7890.0,3384.0,0.02340219849438566,0.7235849056603774,0.6520720045002812,0.7785965684117906,0.7031505925426341,0.5504952887170814,0.2321407172815202,0.24392423919982978,0.2708952384036791,0.03861524569453456,74.033,0.5438881162107866,0.09012195121951219,0.04878048780487805
75,TRXL11,7220.0,2296.0,0.014684332774888348,0.44454926624737945,0.40586911681980126,0.4765728112626485,0.42942480007707867,0.3409841346541032,0.3334588718651032,0.32288572036603536,0.32600863094997123,0.05566156514727557,105.082,0.25135218667902953,0.6182926829268293,0.14634146341463414
76,XPCM11,9784.0,3621.0,0.034119093132001524,0.8342767295597485,0.7434839677479843,0.8703255609326881,0.815974564023509,0.6393653861641299,0.3565265770778054,0.3774249840391573,0.40807552486053644,0.06444631972104096,80.3588,0.6611806521403183,0.0,0.024390243902439025
77,KNIP11,10839.0,10095.0,0.03280682031923223,0.7212788259958072,0.6654790924432777,0.7299824021117466,0.6092109066384044,0.5977691874043649,0.4808268424206112,0.4927601617365397,0.5190229052133852,0.42580173564511614,103.3843,0.5305207850409519,0.09012195121951219,0.0
78,FAED11,22050.0,0.0,0.06508435727064751,0.7015723270440252,0.6402587661728858,0.7427408710954686,0.6422584063975334,0.5294757187726503,0.2980142086792776,0.30811662055756545,0.32985450453003423,0.02597007833758733,160.8438,0.7797094730335342,0.0,0.07317073170731707
79,CNES11,9400.0,0.0,0.01110620223873742,0.2647798742138365,0.32927057941121324,0.3657061152661681,0.3464688312939589,0.10171539019086735,0.3999743216639562,0.37472653756118324,0.3412140005991466,0.11214499105059526,103.9334,0.4192551383093803,0.5548780487804879,0.024390243902439025
80,FLRP11,1.2031,0.0,0.4882573454470695,1.0,0.5408775548471779,0.5929388473383195,0.5317467964158396,0.3841507610533945,0.3999743216639562,0.4344328580549053,0.39800338436875043,0.012874107314892847,1403.0491,0.3830165353113893,0.025365853658536587,0.024390243902439025
81,FEXC11,10520.0,0.0,0.0371810630284632,0.840566037735849,0.72492030751922,0.7571491421029477,0.5349262934772137,0.671377949585246,0.5645810151502183,0.5864992551606726,0.6146272741257722,0.04471732169168785,100.9407,0.5257301808066759,0.09012195121951219,0.0
82,EDGA11,4610.0,0.0,0.005231594280240233,0.2585953878406709,0.27545471591974496,0.28849538055433344,0.24260526062241064,0.09933961504389144,0.3999743216639562,0.3742243030432007,0.340736302617623,0.11483460980320111,82.0735,0.1544583526502859,0.4024390243902439,0.024390243902439025
83,NSLU11,26188.0,0.0,0.06845689839946459,0.620230607966457,0.5683480217513595,0.6962164540255169,0.626939011465459,0.23826206007892406,0.3999743216639562,0.4035922536709939,0.3686694896728173,0.08230258703484895,206.2757,0.7014371812702828,0.0,0.024390243902439025
84,HTMX11,13770.0,0.0,0.01433439335814987,0.2489517819706499,0.48809300581286325,0.5535635723713154,0.5078523942576356,0.3141660626560361,0.8573482838312079,0.8293849755267079,0.8200616959088002,0.04594224848443677,134.4029,0.5120537783959203,0.5121951219512195,0.5853658536585366
85,MAXR11,2.002,0.0,0.33770028563804894,0.40419287211740046,1.0,0.8272107347118346,0.6597938144329897,0.15527099943625675,0.3999743216639562,0.38604809533943396,0.35198244662332295,0.028359782705028688,1838.5463,0.5618142481842064,0.0,0.1951219512195122
86,JRDM11,8049.0,0.0,0.015091137346846827,0.4437106918238994,0.5628164260266266,0.5371755389353278,0.5252914538972926,0.17045179995167914,0.3999743216639562,0.3892572887848479,0.3550348557594993,0.061822583164455755,84.498,0.45649822284036473,0.0014634146341463415,0.024390243902439025
87,ALMI11,1.9,0.0,0.0,0.0,0.0,0.0,0.0016379227285865689,0.0,1.0,0.9499553096403492,0.8883401209628448,0.07223043942449156,2028.5588,0.4441353732035234,1.0,0.024390243902439025
88,TRNT11,18175.0,0.0,0.015270481297925298,0.20555555555555555,0.21123195199699982,0.3268807743070832,0.2898159745640235,0.07896432310541998,0.3999743216639562,0.36991700361779106,0.33663943518286116,0.29211532718468836,185.7349,0.47651058569000154,0.3426829268292683,0.024390243902439025
89,FVBI11,10200.0,0.0,0.0177288057005131,0.4144654088050314,0.3439902493905869,0.39683238011438626,0.3833702668850563,0.15921720222275912,0.3999743216639562,0.38688231538625245,0.3527759110672096,0.0547507929809236,79.612,0.7104002472569927,0.15121951219512195,0.024390243902439025
90,FCFL11,2.1719999999999997,55.0,0.46857762749823934,0.499685534591195,0.4604350271891993,0.5577430708315002,0.5349262934772137,0.19195457840057986,0.3999743216639562,0.3938029367950628,0.35935842732108586,0.09196750358703792,1550.5293,0.8028125482923814,0.0,0.024390243902439025
91,THRA11,11300.0,3371.0,0.018380567864188513,0.389832285115304,0.3513969623101444,0.4390673119225693,0.3553328837074863,0.2992268663928485,0.3999743216639562,0.38488188976377957,0.3810410577366831,0.035579831865826285,85.5233,0.7413846391593262,0.0,0.024390243902439025
92,CEOC11,9100.0,2078.0,0.02317473787350565,0.6156184486373166,0.5491280705044065,0.5719313682358117,0.25050582907794583,0.47342353225416767,0.4189934092270821,0.42225154288146416,0.4344379761798735,0.04447799068388636,80.9266,0.5893215886261783,0.0,0.024390243902439025
93,GGRC11,12851.0,28692.0,0.032369396048309136,0.6004192872117401,0.5454715919744983,0.6956665200175979,0.0,0.4430619312233229,0.17356843276555683,0.1755352202596297,0.19357293800451789,0.16252414307429885,110.5864,0.6183742852727554,0.0,0.12195121951219512
94,OUJP11,10170.0,733.0,0.03061969896461675,0.7124737945492663,0.6386649165572849,0.7666080070391552,0.5980344927256961,0.5390996214866715,0.14125652657707782,0.15203234730793785,0.18150903982705713,0.013136531923307462,101.4192,0.49528666357595424,0.09012195121951219,0.0
95,HCRI11,34900.0,0.0,0.10040636714768755,0.7351153039832286,0.6192574535908494,0.7223933128024638,0.687927546006359,0.28239510348715474,0.3999743216639562,0.412921898276229,0.37754333692281533,0.008850859728375161,314.5722,0.5776541492814093,0.0,0.024390243902439025
96,RBRF11,9700.0,1532.0,0.02843257761000127,0.7060796645702306,0.44271516969810615,0.0,0.0,0.2712410405089796,0.3999743216639562,0.41056394977654825,0.3753005853824417,0.01620619295537414,99.0891,0.4768196569309226,0.09012195121951219,0.0
97,VISC11,11070.0,16043.0,0.02668288052630888,0.5734800838574424,0.5275642227639227,0.0,0.0,0.4435451397277925,0.5151159804844646,0.5149350925728879,0.5203102607907115,0.11634921063808656,98.4253,0.5894761242466389,0.051219512195121955,0.17073170731707318
98,XPML11,10150.0,0.0,0.02241361964209946,0.5145702306079665,0.0,0.0,0.0,0.19767254570347104,0.3999743216639562,0.39501170461800383,0.3605081411071258,0.08556990766368669,95.8462,0.5387111729253593,0.09012195121951219,0.0
99,BCFF11,8300.0,0.0,0.021652501410693272,0.6200209643605871,0.5735983498968685,0.6945666520017597,0.654012910685037,0.4812354030764275,0.5763844902850296,0.5800468184720153,0.5866859904946198,0.20832527747502744,89.6498,0.43579044969865555,0.09012195121951219,0.0
100,MALL11,10209.0,0.0,0.021871213546154823,0.5044025157232704,0.0,0.0,0.0,0.38310380929371024,0.40821706753402387,0.4024260480953395,0.4058489664720789,0.058011933069449725,96.1527,0.5407974038015763,0.0012195121951219512,0.0
101,BZLI11,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999743216639562,0.35322409023196427,0.3207620497291695,0.06909594859164336,12.4889,0.5407974038015763,0.09012195121951219,0.0
102,ALZR11,10135.0,0.0,0.015401708579202226,0.35649895178197066,0.0,0.0,0.0,0.13694934364178143,0.3999743216639562,0.3821749308363481,0.3482985045624205,0.022534257188581472,95.468,0.540720135991346,0.09012195121951219,0.04878048780487805
