;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
67;KNCR11;Títulos e Val. Mob.;10520.0;20737.0;R$ 0,5100;0,4812%;1,5731%;3,3699%;6,7831%;0,5244%;0,5616%;0,5653%;6,7831%;-0,3573%;0,1222%;5,9778%;R$ 3.531.703.072,82;R$ 104,46;10071.0;;;;;;;0
68;KNHY11;Títulos e Val. Mob.;10810.0;1523.0;R$ 0,3600;0,3273%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,8482%;2,3256%;2,6605%;10,9349%;R$ 411.736.153,80;R$ 102,93;10502.0;;;;;;;0
69;KNIP11;Títulos e Val. Mob.;11009.0;15341.0;R$ 0,5500;0,5007%;2,0281%;4,1984%;8,0852%;0,6760%;0,6997%;0,6738%;8,0852%;-0,3718%;0,1270%;10,2680%;R$ 1.832.899.795,84;R$ 105,03;10482.0;;;;;;;0
70;KNRE11;Residencial;944.0;6246.0;R$ 0,1348;1,4264%;2,0824%;2,6762%;11,0295%;0,6941%;0,4460%;0,9191%;11,0295%;2,7174%;4,1825%;-6,5895%;R$ 131.433.387,35;R$ 7,09;13321.0;;;;;;;0
71;KNRI11;Híbrido;14800.0;15308.0;R$ 0,7400;0,5061%;1,5275%;3,2722%;6,2674%;0,5092%;0,5454%;0,5223%;6,2674%;-3,7393%;-3,2521%;-3,9188%;R$ 2.235.726.955,59;R$ 144,02;10277.0;;;;;8,20%;11,10%;16
72;LVBI11;Logística;10400.0;1559.0;R$ 0,2500;0,2381%;0,2381%;0,2381%;0,2381%;0,0794%;0,0397%;0,0198%;0,2381%;5,0000%;5,2500%;5,2500%;R$ 296.093.592,15;R$ 97,72;10643.0;;;;;;;0
73;MALL11;Shoppings;10530.0;7162.0;R$ 0,6400;0,5944%;1,8440%;3,7187%;7,1313%;0,6147%;0,6198%;0,5943%;7,1313%;5,6826%;6,3107%;15,6148%;R$ 178.312.126,48;R$ 95,86;10985.0;0,6676%;0,1617%;0,8304%;6,7947%;0,00%;;1
74;MAXR11;Outros;1.81;0.0;R$ 10,1745;0,5652%;1,4287%;4,2589%;8,6114%;0,4762%;0,7098%;0,7176%;6,2631%;-5,7544%;-5,2217%;-4,2999%;R$ 110.625.211,36;R$ 1.867,25;9693.0;0,5449%;0,3043%;0,8508%;8,3604%;0,00%;;8
75;MBRF11;Outros;1.111;92.0;R$ 8,0000;0,7246%;2,2500%;4,6179%;9,1460%;0,7500%;0,7697%;0,7622%;9,1460%;4,3488%;5,1050%;10,8444%;R$ 119.784.289,76;R$ 1.178,24;9429.0;0,6790%;3,1097%;3,8097%;11,3884%;0,00%;;2
76;MFII11;Híbrido;9381.0;4928.0;R$ 1,1300;1,2149%;3,7193%;3,7193%;9,2989%;1,2398%;0,6199%;0,7749%;9,2989%;-5,5736%;-4,4264%;-28,5147%;R$ 197.400.301,56;R$ 98,57;9517.0;1,1464%;-0,7182%;0,4200%;-1,2213%;;;9
77;MGFF11;Títulos e Val. Mob.;9699.0;0.0;R$ 0,7000;0,7232%;2,3244%;3,8076%;0,0000%;0,7748%;0,6346%;0,0000%;4,7837%;8,2662%;9,0492%;1,5181%;R$ 114.177.149,89;R$ 94,68;10244.0;0,7393%;2,4411%;3,1985%;2,6756%;;;0
78;MXRF11;Híbrido;1138.0;65421.0;R$ 0,0600;0,5859%;1,7688%;3,9658%;8,3073%;0,5896%;0,6610%;0,6923%;8,3073%;0,5894%;1,1788%;15,9927%;R$ 303.623.618,26;R$ 9,64;11800.0;0,6221%;0,2016%;0,8250%;10,9853%;;;0
79;NSLU11;Hospital;22790.0;0.0;R$ 1,5709;0,7060%;2,0755%;4,3337%;7,9401%;0,6918%;0,7223%;0,6617%;7,3541%;-0,4430%;0,2599%;-9,4785%;R$ 236.236.711,29;R$ 206,36;11044.0;0,7613%;0,0039%;0,7652%;8,8173%;0,00%;;1
80;NVHO11;Hospital;3029.0;135.0;R$ 0,0687;0,2115%;0,5923%;1,2539%;5,5453%;0,1974%;0,2090%;0,4621%;5,5453%;22,6415%;22,9009%;435,0041%;R$ 290.393.092,61;R$ 7,00;43282.0;0,7552%;0,0413%;0,7968%;38,1286%;;;1
81;NVIF11B;Outros;;;R$ 0,8892;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 43.659.424,81;R$ 129,40;;0,6871%;-99,9616%;-99,9614%;-99,9614%;;;0
82;ONEF11;Lajes Corporativas;14350.0;689.0;R$ 0,7200;0,5000%;1,5760%;3,1857%;6,4128%;0,5253%;0,5309%;0,5344%;6,4128%;8,2707%;8,8120%;26,8684%;R$ 101.570.589,76;R$ 111,49;12871.0;0,6458%;0,0165%;0,6624%;10,3319%;0,00%;;1
83;OUCY11;Títulos e Val. Mob.;9310.0;625.0;R$ 0,6007;0,6986%;1,9046%;3,3890%;0,0000%;0,6349%;0,5648%;0,0000%;3,7068%;1,1171%;1,8236%;-10,7720%;R$ 51.617.149,08;R$ 96,68;9630.0;0,6214%;0,0599%;0,6817%;4,7083%;;;0
84;OUJP11;Títulos e Val. Mob.;10310.0;1592.0;R$ 0,6829;0,6640%;2,1748%;3,6245%;7,4502%;0,7249%;0,6041%;0,6208%;7,4502%;1,1110%;1,7824%;4,3012%;R$ 75.502.558,27;R$ 104,86;9832.0;0,6512%;-0,0815%;0,5692%;11,2734%;;;0
85;PABY11;Híbrido;2139.0;45.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-19,8397%;-19,8397%;-31,6239%;R$ 186.691.068,73;R$ 246,16;869.0;;;;;;;1
86;PLRI11;Títulos e Val. Mob.;7352.0;226.0;R$ 0,2784;0,3548%;1,4218%;4,2358%;8,2221%;0,4739%;0,7060%;0,6852%;8,2221%;-3,0748%;-2,7310%;-6,8964%;R$ 77.468.573,98;R$ 81,18;9057.0;0,4143%;-1,4433%;-1,0349%;-10,0034%;;;0
87;PORD11;Títulos e Val. Mob.;9838.0;305.0;R$ 5,0000;4,9087%;4,9087%;4,9087%;8,0854%;1,6362%;0,8181%;0,6738%;4,9087%;1,4542%;6,4343%;6,8600%;R$ 108.849.000,58;R$ 108,85;9038.0;;;;;;;0
88;PQDP11;Shoppings;3.04;43.0;R$ 14,8376;0,4946%;1,5250%;3,0103%;5,5211%;0,5083%;0,5017%;0,4601%;5,0715%;0,0000%;0,4946%;-4,1987%;R$ 660.286.986,72;R$ 2.768,77;10980.0;0,5359%;-0,0256%;0,5102%;9,8482%;4,90%;;1
