;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
171;WPLZ11;Shoppings;R$ 76,66;215.0;R$ 0,05;0,06%;0,37%;2,13%;5,05%;0,12%;0,35%;0,42%;2,13%;-0,67%;-0,60%;-24,23%;R$ 95.198.927,79;R$ 93,26;82.0;;;;;11,70%;;1
172;WTSP11B;Híbrido;R$ 52,00;1.0;R$ 0,13;0,25%;0,84%;2,35%;0,00%;0,28%;0,39%;0,00%;3,22%;-3,09%;-2,85%;-21,29%;R$ 90.444.450,86;R$ 91,12;57.0;0,14%;0,05%;0,19%;1,79%;;;0
173;XPCI11;Outros;R$ 89,98;15029.0;R$ 0,60;0,69%;1,97%;4,04%;0,00%;0,66%;0,67%;0,00%;5,28%;4,90%;5,62%;-12,18%;R$ 659.010.655,49;R$ 97,13;93.0;0,62%;-1,78%;-1,18%;4,61%;;;0
174;XPCM11;Lajes Corporativas;R$ 58,96;16458.0;R$ 0,97;1,67%;4,64%;9,39%;16,91%;1,55%;1,57%;1,41%;12,09%;-2,73%;-1,11%;1,64%;R$ 148.815.839,27;R$ 61,63;96.0;1,57%;-0,01%;1,56%;11,72%;0,00%;;1
175;XPHT11;Hotel;R$ 94,00;69.0;R$ 0,34;0,40%;1,05%;2,23%;0,00%;0,35%;0,37%;0,00%;1,05%;-18,27%;-17,94%;-16,89%;R$ 473.147.191,99;R$ 125,08;75.0;;;;;92,70%;;5
176;XPIN11;Outros;R$ 114,74;14914.0;R$ 0,62;0,54%;1,59%;3,17%;6,48%;0,53%;0,53%;0,54%;4,43%;-0,68%;-0,15%;-7,92%;R$ 730.783.813,16;R$ 110,95;103.0;0,56%;1,52%;2,09%;2,18%;8,90%;;5
177;XPLG11;Logística;R$ 129,50;46089.0;R$ 0,58;0,46%;1,36%;2,86%;5,90%;0,45%;0,48%;0,49%;3,82%;0,61%;1,07%;-2,77%;R$ 2.644.291.054,32;R$ 109,77;118.0;0,53%;0,48%;1,02%;4,73%;10,00%;4,00%;13
178;XPML11;Shoppings;R$ 105,99;38087.0;R$ 0,18;0,16%;0,60%;0,86%;3,01%;0,20%;0,14%;0,25%;1,22%;-0,09%;0,07%;-20,55%;R$ 2.027.556.534,63;R$ 111,36;95.0;0,16%;2,44%;2,61%;3,76%;4,20%;;13
179;XPPR11;Outros;R$ 84,20;12199.0;R$ 0,72;0,77%;2,52%;4,80%;0,00%;0,84%;0,80%;0,00%;5,79%;5,04%;5,85%;-8,41%;R$ 472.139.285,00;R$ 97,70;86.0;0,74%;-0,27%;0,47%;7,30%;16,00%;;4
180;XPSF11;Outros;R$ 96,38;7573.0;R$ 0,70;0,71%;2,27%;4,54%;0,00%;0,76%;0,76%;0,00%;5,25%;2,47%;3,20%;5,13%;R$ 336.269.216,26;R$ 100,38;96.0;0,70%;2,53%;3,24%;3,59%;;;0
181;XTED11;Lajes Corporativas;R$ 7,25;1262.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;1,10%;-37,83%;R$ 26.119.089,07;R$ 14,57;50.0;;;;;100,00%;100,00%;1
